사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019052800100740,2019년 5월 28일 22시,화요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,이륜,남,36세,중상
2019053000100645,2019년 5월 30일 23시,목요일,세종특별자치시 세종특별자치시 장군면,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,비,기타 - 기타,승용,남,36세,상해없음,보행자,남,77세,중상
2019053000100646,2019년 5월 30일 23시,목요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,48세,상해없음,보행자,남,49세,중상
2019053100100124,2019년 5월 31일 07시,금요일,세종특별자치시 세종특별자치시 한솔동,경상사고,0,0,1,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,38세,부상신고,승용,여,38세,경상
2019053100100418,2019년 5월 31일 15시,금요일,세종특별자치시 세종특별자치시 전동면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,64세,경상,건설기계,남,28세,상해없음
2019053100100580,2019년 5월 31일 18시,금요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,61세,상해없음,보행자,여,10세,경상
2019053100100581,2019년 5월 31일 18시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,이륜,남,51세,상해없음,보행자,여,20세,경상
2019060100100340,2019년 6월 1일 14시,토요일,세종특별자치시 세종특별자치시 소정면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,44세,경상
2019060100100468,2019년 6월 1일 17시,토요일,세종특별자치시 세종특별자치시 연서면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,39세,상해없음,자전거,남,62세,중상
2019060200100074,2019년 6월 2일 05시,일요일,세종특별자치시 세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,남,46세,경상
2019060200100399,2019년 6월 2일 19시,일요일,세종특별자치시 세종특별자치시 장군면,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,59세,중상,,,,
2019060200100433,2019년 6월 2일 20시,일요일,세종특별자치시 세종특별자치시 아름동,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,66세,사망,,,,
2019060300100254,2019년 6월 3일 11시,월요일,세종특별자치시 세종특별자치시 전동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,화물,남,57세,중상
2019060300100432,2019년 6월 3일 16시,월요일,세종특별자치시 세종특별자치시 금남면,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,22세,중상
2019060300100462,2019년 6월 3일 17시,월요일,세종특별자치시 세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,35세,상해없음,자전거,남,7세,경상
2019060300100463,2019년 6월 3일 17시,월요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,1,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,57세,부상신고,승용,여,41세,경상
2019060300100497,2019년 6월 3일 18시,월요일,세종특별자치시 세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,45세,상해없음,승용,여,36세,경상
2019060300100498,2019년 6월 3일 18시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,58세,경상,승합,여,47세,기타불명
2019060300100553,2019년 6월 3일 20시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,이륜,남,53세,경상
2019060400100073,2019년 6월 4일 06시,화요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,83세,경상,화물,남,41세,상해없음
2019060400100131,2019년 6월 4일 08시,화요일,세종특별자치시 세종특별자치시 연기면,중상사고,0,1,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 교량,이륜,남,49세,중상,,,,
2019060400100379,2019년 6월 4일 15시,화요일,세종특별자치시 세종특별자치시 새롬동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,자전거,남,9세,경상
2019060400100420,2019년 6월 4일 16시,화요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,화물,여,63세,상해없음,승용,여,46세,경상
2019060400100602,2019년 6월 4일 20시,화요일,세종특별자치시 세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,승용,남,28세,경상
2019060500100315,2019년 6월 5일 13시,수요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,2,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,승용,여,28세,경상
2019060600100557,2019년 6월 6일 21시,목요일,세종특별자치시 세종특별자치시 나성동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,젖음/습기,비,기타 - 기타,자전거,남,45세,상해없음,보행자,여,23세,중상
2019060700100152,2019년 6월 7일 08시,금요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승합,남,24세,상해없음,승용,남,41세,경상
2019060700100504,2019년 6월 7일 18시,금요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,52세,상해없음,승용,여,32세,경상
2019060900100279,2019년 6월 9일 15시,일요일,세종특별자치시 세종특별자치시 전의면,중상사고,0,3,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,35세,중상
2019061000100614,2019년 6월 10일 21시,월요일,세종특별자치시 세종특별자치시 새롬동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,남,59세,경상
2019061100100083,2019년 6월 11일 06시,화요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,자전거,여,62세,경상
2019061100100148,2019년 6월 11일 08시,화요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,56세,경상,승용,남,65세,상해없음
2019061100100195,2019년 6월 11일 09시,화요일,세종특별자치시 세종특별자치시 한솔동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,43세,상해없음,승용,남,69세,경상
2019061100100264,2019년 6월 11일 11시,화요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,39세,상해없음,승용,여,47세,경상
2019061100100356,2019년 6월 11일 14시,화요일,세종특별자치시 세종특별자치시 전의면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,농기계,남,76세,경상,승용,남,45세,경상
2019061100100494,2019년 6월 11일 18시,화요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,이륜,남,57세,경상,화물,남,31세,상해없음
2019061200100029,2019년 6월 12일 00시,수요일,세종특별자치시 세종특별자치시 전동면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,중상,승용,남,47세,경상
2019061200100165,2019년 6월 12일 09시,수요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 기타,불법유턴,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,여,32세,경상
2019061200100472,2019년 6월 12일 18시,수요일,세종특별자치시 세종특별자치시 전의면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,40세,상해없음,보행자,남,79세,중상
2019061300100269,2019년 6월 13일 12시,목요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,69세,상해없음,승용,남,46세,경상
2019061300100345,2019년 6월 13일 14시,목요일,세종특별자치시 세종특별자치시 새롬동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,67세,상해없음,승용,여,33세,중상
2019061300100445,2019년 6월 13일 17시,목요일,세종특별자치시 세종특별자치시 대평동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,69세,상해없음,이륜,남,27세,중상
2019061400100272,2019년 6월 14일 12시,금요일,세종특별자치시 세종특별자치시 대평동,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 지하차도(도로)내,화물,남,46세,상해없음,화물,여,58세,중상
2019061400100396,2019년 6월 14일 15시,금요일,세종특별자치시 세종특별자치시 연서면,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,75세,상해없음,,,,
2019061400100531,2019년 6월 14일 18시,금요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,여,40세,상해없음,보행자,여,51세,경상
2019061400100603,2019년 6월 14일 20시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,57세,기타불명,승용,여,40세,경상
2019061500100335,2019년 6월 15일 13시,토요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,여,60세,중상
2019061500100434,2019년 6월 15일 15시,토요일,세종특별자치시 세종특별자치시 연동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,56세,상해없음,승용,여,50세,경상
2019061500100561,2019년 6월 15일 18시,토요일,세종특별자치시 세종특별자치시 나성동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,38세,상해없음
2019061600100403,2019년 6월 16일 18시,일요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,77세,상해없음,보행자,여,6세,경상
2019061700100539,2019년 6월 17일 18시,월요일,세종특별자치시 세종특별자치시 보람동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,58세,상해없음,승용,여,44세,경상
2019061800100160,2019년 6월 18일 08시,화요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,41세,상해없음,보행자,여,49세,경상
2019061900100152,2019년 6월 19일 08시,수요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,34세,기타불명,승용,여,34세,중상
2019061900100176,2019년 6월 19일 09시,수요일,세종특별자치시 세종특별자치시 고운동,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,특수,남,51세,상해없음,승용,여,41세,상해없음
2019061900100212,2019년 6월 19일 10시,수요일,세종특별자치시 세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,37세,상해없음,승용,여,52세,경상
